train_score,test_score
54.929,56.107
58.82,59.872
53.638,54.642
57.137,58.753
104.648,105.318
67.123,68.325
62.703,63.319
55.001,56.152
52.985,54.205
54.445,55.704
54.949,56.123
55.043,56.201
53.341,54.653
54.696,55.928
55.237,56.407
58.825,59.872
58.798,59.853
53.097,53.804
52.944,54.176
53.617,54.64
53.459,54.584
51.199,52.263
56.963,58.611
55.262,56.921
54.161,55.848
66.389,67.571
62.678,63.317
60.504,61.495
54.116,55.326
54.564,55.826
55.0,56.165
54.664,55.801
48.929,50.399
52.914,54.136
52.989,54.204
53.121,54.266
50.11,51.591
54.459,55.722
54.532,55.771
52.803,54.156
55.056,56.216
53.39,54.691
53.176,54.499
54.202,55.422
54.728,55.95
54.564,55.742
49.023,49.671
55.263,56.419
55.124,56.247
49.791,50.992
58.807,59.856
53.107,53.807
51.426,52.412
52.942,54.177
52.928,54.178
50.57,51.846
53.463,54.583
51.194,52.26
49.867,50.963
55.191,56.855
54.17,55.852
53.276,54.993
60.433,61.401
53.986,55.235
54.132,55.351
53.804,54.996
47.853,49.232
54.592,55.842
54.395,55.615
48.758,50.168
54.679,55.845
48.991,50.45
48.684,50.163
52.917,54.132
53.075,54.225
50.106,51.583
53.12,54.264
50.144,51.624
49.821,51.336
54.537,55.782
52.861,54.194
52.613,53.982
53.227,54.553
54.225,55.442
54.014,55.205
48.445,49.384
54.587,55.756
49.032,49.685
47.845,48.638
55.151,56.254
49.819,51.0
48.936,50.16
51.448,52.435
52.924,54.18
50.569,51.845
49.63,50.957
49.844,50.918
53.278,54.994
54.011,55.273
53.764,54.97
47.85,49.219
53.836,55.045
47.915,49.286
47.544,48.944
54.412,55.655
48.824,50.21
48.496,49.906
48.761,50.219
53.073,54.223
50.141,51.616
49.814,51.326
49.855,51.383
52.669,54.041
54.047,55.214
48.467,49.398
47.564,48.581
47.861,48.656
48.978,50.197
49.621,50.944
53.796,55.018
47.912,49.274
47.538,48.926
47.621,49.006
48.577,49.956
49.848,51.371
47.597,48.621
47.616,48.987
