train_score,test_score
51.476,51.905
49.932,50.468
51.476,51.905
51.296,51.435
51.882,52.729
52.075,52.711
51.882,52.729
52.055,52.762
53.955,54.496
52.76,53.635
53.955,54.496
52.76,53.635
51.682,52.565
51.768,52.9
51.84,52.927
51.768,52.9
58.366,58.609
58.967,59.109
58.427,58.599
59.27,59.408
56.652,56.96
56.652,56.96
56.652,56.96
56.652,56.96
57.597,57.692
57.127,57.173
57.597,57.692
57.346,57.47
49.329,49.572
48.791,49.11
49.343,49.702
48.814,49.284
50.925,51.394
49.661,50.187
50.949,51.582
49.651,50.205
51.508,51.946
50.879,51.771
51.014,51.478
50.371,51.176
54.902,55.327
52.61,53.096
54.909,55.324
54.109,54.602
54.644,55.13
51.242,51.695
54.644,55.13
51.242,51.695
53.731,54.238
53.371,53.772
54.162,54.758
53.259,53.71
51.245,51.586
50.5,50.994
50.862,51.342
50.554,50.994
50.618,51.082
50.042,50.703
50.706,51.372
49.99,50.572
52.064,52.418
51.811,52.298
52.306,52.565
51.796,52.398
50.031,50.519
49.465,50.703
50.032,50.519
49.458,50.681
57.291,57.322
52.657,53.132
56.549,56.625
52.35,52.749
51.316,51.753
50.72,51.278
51.357,51.826
50.489,51.287
51.951,52.41
51.647,52.291
52.078,52.609
51.28,52.003
49.911,50.895
50.086,51.01
49.897,50.867
50.081,50.985
54.411,54.76
54.05,54.425
54.055,54.425
53.36,53.68
52.905,53.432
52.378,53.124
52.55,52.831
52.158,53.03
50.83,51.465
51.107,52.445
50.83,51.465
51.107,52.445
54.93,55.222
53.291,53.825
55.175,55.435
53.708,54.09
56.211,56.518
56.695,57.091
56.211,56.526
56.687,57.042
57.72,57.883
57.54,57.605
57.614,57.744
57.574,57.683
55.805,56.066
55.675,56.047
55.982,56.326
55.68,56.043
49.552,50.087
47.683,48.258
50.781,51.379
47.696,48.218
50.734,51.018
48.249,48.71
50.994,51.034
48.479,48.989
51.588,51.972
49.438,50.27
51.648,51.935
49.494,50.113
50.733,51.032
48.795,49.252
51.159,51.615
48.588,48.865
53.677,54.052
50.533,50.803
53.176,53.645
49.738,50.179
50.862,51.34
50.058,50.736
50.811,51.315
49.929,50.119
51.256,51.899
50.034,50.512
51.569,52.069
50.818,51.453
51.274,51.852
50.684,51.405
50.719,51.487
50.698,51.393
54.159,54.597
52.686,53.138
53.745,54.119
52.171,52.492
51.616,51.973
50.463,50.749
51.621,51.835
50.767,51.381
50.694,51.231
50.158,50.431
50.713,51.209
50.099,50.39
53.452,53.956
52.916,53.185
53.429,53.915
52.394,52.794
53.124,53.674
52.972,53.547
53.6,54.175
52.956,53.579
54.215,54.764
54.111,54.559
53.624,54.134
53.906,54.362
52.561,53.175
52.054,52.517
52.535,53.179
52.277,52.919
49.891,50.605
49.772,50.531
49.295,50.121
49.228,49.666
51.6,51.755
48.997,49.794
50.684,51.316
49.576,50.28
49.722,50.366
47.019,47.941
48.261,49.208
47.033,47.955
53.19,53.523
50.365,50.862
51.873,52.418
50.567,51.152
51.688,51.972
50.319,50.748
52.562,52.835
50.554,51.609
50.815,51.408
47.999,48.754
48.673,49.606
47.954,48.725
52.607,52.77
51.736,52.391
54.708,54.848
50.889,51.432
51.668,52.054
50.377,50.655
51.884,52.273
49.749,50.232
57.067,57.21
54.428,54.561
57.272,57.469
53.422,53.665
56.021,56.355
54.106,54.45
55.785,56.119
51.603,52.063
51.417,52.088
50.713,51.77
51.413,52.05
50.659,51.665
49.447,50.15
49.148,50.051
49.439,50.157
50.569,51.363
54.045,54.425
50.423,50.815
54.061,54.43
50.298,50.86
52.315,53.165
49.48,50.261
52.78,53.467
49.481,50.351
54.468,54.816
53.957,54.455
54.583,54.877
54.03,54.432
52.705,53.232
52.4,52.97
52.753,53.383
52.072,52.692
53.712,54.252
51.315,52.133
52.789,53.597
50.677,51.079
55.074,55.328
54.13,54.948
55.266,55.526
54.484,54.9
53.474,53.992
53.047,53.849
53.58,54.101
53.382,53.909
55.967,56.355
55.836,56.24
56.03,56.335
55.618,55.997
50.427,50.902
47.853,48.169
